Species,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Length,SHSpM.PC1,SHSpM.PC2,SHSpM.PC3,SHSpM.PC3,GMSpM.PC1,GMSpM.PC2,GMSpM.PC3,GMSpM.PC4,Midline.length.SpMean,log.Midline.length.SpMean,Csize.SpMean,Base.area.SpMean,sqrt.Base.area.SpMean,Lateral.width.SpMean,Body.massSpMean,logBody.mass
Mephitis_mephitis,18.724,16.309,21.997,22.111,15.741,6.914,1.864742852,0.002186653,-0.91029999,-0.852535549,0.076771464,-0.040735913,0.022708392,0.00207604,6.914,0.839729375,13.39659002,6.18164183,2.486290777,2.5,2085,3.319106059
Mungos_mungo,19.761,15.354,21.675,20.865,15.489,5.478,1.164801612,0.736814899,0.92087826,0.136503872,0.022607915,-0.007328986,-0.002159028,-0.005850102,5.478,0.738622028,11.06861088,4.96953011,2.229244291,2.14,1925,3.284430734
Mustela_frenata,19.888,18.66,24.152,22.641,16.298,3.719,0.806341299,0.128013027,0.79771582,0.52199583,0.046672945,0.02266979,-0.010846664,0.01984525,3.719,0.570426178,7.381586326,2.06156495,1.435815082,1.59,147,2.167317335
Neofelis_nebulosa,19.729,12.356,17.08,16.877,12.146,31.207,0.251357185,1.493635576,1.030154179,0.191945154,0.196529971,0.010422998,0.01710651,-0.005816105,31.207,1.494252021,56.8378039,66.2291305,8.138128194,7.93,10740.75,4.031034608
Panthera_leo,20.191,11.4035,21.0795,18.349,13.627,44.9265,-0.07526341,0.839123241,0.184000765,-0.438016051,0.061577672,-0.022834664,-0.015379414,-7.60E-04,44.9265,1.652494182,88.12638025,301.0046365,17.34853001,16.51,161499.1,5.208170106
Panthera_onca,21.1845,12.6895,18.4905,19.4925,14.661,26.1055,-0.636104866,-0.792696869,-0.302714743,-0.463353119,0.02986823,-0.016631043,-0.007296957,0.012604669,26.1055,1.416732006,52.28603405,120.5504411,10.87065011,10.995,1.00E+05,5
Panthera_pardus,20.9945,12.4085,17.93125,17.754,13.6275,25.49075,-0.456910144,0.351637199,0.886460425,-0.700423159,0.060264754,-0.032285885,0.020575381,0.013288732,25.49075,1.404603939,49.74573401,97.03102913,9.81101268,9.6225,52038.23333,4.716322544
Panthera_tigris,19.6765,11.2245,18.325,19.095,13.621,39.335,0.204170827,-0.725528856,0.375085405,0.324436187,0.065848209,-0.014018881,-0.003504025,-0.009815915,39.335,1.594569822,76.87199641,216.9813435,14.72732077,14.095,162564,5.211024377
Uncia_uncia,20.932,12.763,18.877,18.341,12.818,24.891,0.351310044,-0.414572601,0.206452316,0.482325979,0.087436883,-0.025373015,0.005591824,0.017386257,24.891,1.396042345,47.92179252,80.0794114,8.948710041,8.98,44167,4.645097901
Paradoxurus_hermaphroditus,19.945,12.131,20.56833333,18.755,14.93433333,8.708333333,-0.383497111,-0.411641151,0.48511162,-0.215065695,0.033402999,0.010709607,0.044953829,-0.028147989,8.708333333,0.939004675,17.38561919,11.63043847,3.401944922,3.173333333,3113.35,3.493227946
