Institution,Specimen,Suborder,Family,Species,Collector,Specimen.type,Tooth,Position,Killing.technique,Diet,Scan,Outlier,Sharpness.pair,Notes,Anterior,Posterior,Lingual,Labial,Sagittal.Tip,Lateral.Tip,Tip.Av,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass
MV,NMVC11225,Caniform,Mustelidae,Mustela.frenata,Anastasia,Natural,Upper,Right,Nape.throat,Meat,Laser.design,Y,N,,19.888,18.66,24.152,22.641,16.328,16.268,16.298,3.719,0.570426178,7.381586326,2.06156495,1.435815082,1.59,147
MV,NMVC22360,Caniform,Mustelidae,Mustela.putorius,Anastasia,Natural,Lower,Left,Head.bite,Meat,Laser.design,Y,N,,21.423,20.172,18.183,20.448,15.305,16.698,16.001,3.285,0.516535374,7.102340597,2.8949461,1.701454113,1.86,915.4
MV,NMVC32788,Caniform,Mustelidae,Mustela.putorius,Anastasia,Natural,Lower,Left,Head.bite,Meat,Laser.design,Y,N,,21.51,21.685,18.962,21.148,15.319,16.597,15.958,4.357,0.63918756,8.920476971,4.02686334,2.006704597,2.22,915.4
AMNH,AMNH22916,Feliform,Felidae,Neofelis.nebulosa,Tahlia,Cast,Upper,Right,Nape.throat,Meat,Laser.design,Y,N,,19.729,12.356,17.08,16.877,11.881,12.411,12.146,31.207,1.494252021,56.8378039,66.2291305,8.138128194,7.93,10740.75
AM,AM43412,Caniform,Canidae,Nyctereutes.procyonoides,Tahlia,Cast,Lower,Right,Unknown,Unknown,Laser.design,Y,N,,19.906,17.866,16.773,21.454,16.773,18.14,17.45669013,6.434,0.808481057,13.36569534,8.90336938,2.983851434,2.78,4040
AM,AM42709,Feliform,Felidae,Panthera.leo,Tahlia,Cast,Lower,Left,Nape.throat,Meat.bone,Laser.design,Y,N,,18.873,11.1,15.874,19.724,14.058,13.075,13.56653012,26.506,1.423344194,54.16568192,140.054729,11.83447206,11.91,161499.1
AM,AM42709,Feliform,Felidae,Panthera.leo,Tahlia,Cast,Lower,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,19.425,12.579,14.707,19.486,13.737,12.878,13.30738011,25.973,1.414522116,53.07856204,135.433781,11.63760203,12.01,161499.1
NMNH,NMNH181567,Feliform,Felidae,Panthera.leo,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,20.204,11.808,22.158,19.063,13.892,13.206,13.549,45.206,1.655196081,88.22223185,294.687937,17.16647713,16.08,161499.1
NMNH,NMNH181570,Feliform,Felidae,Panthera.leo,Tahlia,Cast,Upper,Left,Nape.throat,Meat.bone,Laser.design,Y,N,,20.178,10.999,20.001,17.635,14.075,13.335,13.705,44.647,1.649792282,88.03052864,307.321336,17.53058288,16.94,161499.1
AMNH,AMNH75462,Feliform,Felidae,Panthera.onca,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,20.255,12.98,18.717,19.721,16.028,15.272,15.65,26.111,1.416823505,54.7652286,154.087108,12.41318283,12.67,100000
