Institution,Specimen,Suborder,Family,Species,Specimen.type,Tooth,Position,Killing.technique,Diet,Scan,Outlier,Sharpness.pair,Sagittal.Tip,Lateral.Tip,UpperTip,UpperMidline,LowerMidline,LowerTip,logUpperMidline,logLowerMidline,logUpperTip,logLowerTip,PC1Upper,PC2Upper,PC1Lower,PC2Lower,PC1Diff,PC2Diff
Smithsonian,NMNH220186,Marsupial,Didelphidae,Didelphis.virginiana,Cast,Upper,Left,Unknown,Generalist,Laser.design,Y,Y,13.658,13.463,13.56,10.093,5.392,16.845,1.004020273,0.731749884,1.13225969,1.226471015,-0.084748984,0.049142873,0.035095955,0.005284948,-0.119844939,0.043857925
Smithsonian,NMNH051274,Caniform,Mustelidae,Eira.barbara,Cast,Upper,Left,Unknown,Unknown,Laser.design,Y,Y,15.61,15.062,15.336,10.575,10.628,14.805,1.024280376,1.026451546,1.1857121,1.170408412,0.013046535,-0.023129987,0.047046465,0.059702354,-0.03399993,-0.082832341
Smithsonian,NMNH290407,Caniform,Mustelidae,Gulo.gulo,Cast,Upper,Left,Head.bite,Carrion.bone,Laser.design,Y,Y,15.393,16.123,15.758,14.705,10.369,16.745,1.167465029,1.015736874,1.197501096,1.223885152,0.061820648,-0.014484187,0.15383833,-0.009677522,-0.092017682,-0.004806665
MV,NMVC21949,Feliform,Herpestidae,Herpestes.urva,Natural,Upper,Right,Unknown,Unknown,Laser.design,Y,Y,16.448,15.727,16.088,6.721,6.401,17.193,0.827433895,0.806247827,1.206502058,1.235351663,0.014951019,-0.034590341,0.08028512,0.041801709,-0.065334101,-0.07639205
AMNH,AMNH187783,Feliform,Hyaenidae,Hyaena.hyaena,Natural,Upper,Right,Tear,Carrion.bone,Laser.design,Y,Y,15.03,16.207,15.678,23.526,20.875,14.977,1.371548093,1.319626484,1.19529066,1.17542483,-0.005392916,-0.032518438,0.00661917,0.045536264,-0.012012086,-0.078054702
Smithsonian,NMNH162130,Feliform,Herpestidae,Ichneumia.albicauda,Cast,Upper,Right,Unknown,Invert.terrestrial,Laser.design,Y,Y,15.416,15.416,15.416,8.067,7.503,16.47,0.906712057,0.875234946,1.187971702,1.216693599,-0.047724349,0.019366018,0.009990249,0.043786294,-0.057714598,-0.024420276
Smithsonian,NMNHA01292,Caniform,Mustelidae,Lutra.lutra,Cast,Upper,Right,Invert.feeder,Meat,Laser.design,Y,Y,15.887,15.443,15.665,10.335,8.177,15.017,1.014310481,0.912593998,1.194930399,1.176583181,-0.026437122,-0.029103631,0.073411136,0.000240392,-0.099848258,-0.029344023
MV,NMVC11228,Feliform,Felidae,Lynx.rufus,Natural,Upper,Left,Nape.throat,Meat,Laser.design,Y,Y,14.626,13.795,14.21,14.847,9.88,14.618,1.171638709,0.994756945,1.152594078,1.164887958,-0.050007968,-0.032855623,0.009585043,0.024239795,-0.059593011,-0.057095418
MV,NMVC32245,Caniform,Mustelidae,Martes.americana,Natural,Upper,Left,Head.bite,Meat,Laser.design,Y,Y,17.232,17.421,17.327,7.185,5.958,15.911,0.856426772,0.775100499,1.238723375,1.201697476,-0.07970653,-0.043198863,-0.004358564,0.04529979,-0.075347966,-0.088498653
Smithsonian,NMNH242868,Caniform,Mustelidae,Martes.pennanti,Cast,Upper,Right,Head.bite,Meat,Laser.design,Y,Y,15.877,15.115,15.496,11.074,9.268,15.335,1.044304519,0.966986025,1.190219608,1.18568378,-0.057887565,-0.001449215,0.007995006,0.037220897,-0.065882571,-0.038670112
Smithsonian,NMNH171964,Caniform,Mustelidae,Meles.meles,Cast,Upper,Left,Rarely,Plant,Laser.design,Y,Y,17.554,14.808,16.181,8.688,6.296,15.549,0.938919812,0.799064719,1.209005358,1.191702464,0.036304374,-0.084888974,0.137840425,-0.065938675,-0.101536051,-0.018950299
Monash,MZRC981,Caniform,Mephitidae,Mephitis.mephitis,Natural,Upper,Left,Head.bite,Generalist,Laser.design,Y,Y,16.209,15.272,15.741,6.914,5.532,16.029,0.839729375,0.742882171,1.197032319,1.204906429,-0.068321325,-0.043830992,0.003375214,0.023606611,-0.071696539,-0.067437603
Monash,MZRC957,Feliform,Felidae,Panthera.pardus,Natural,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,Y,13.936,12.852,13.394,28.545,19.475,14.28691496,1.455530047,1.289477466,1.126910295,1.15493846,-0.072638116,-0.015785239,-0.005272988,0.043928895,-0.067365128,-0.059714134
Smithsonian,NMNH258332,Feliform,Viverridae,Paradoxurus.hermaphroditus,Cast,Upper,Left,Unknown,Unknown,Laser.design,Y,Y,15.261,14.49,14.875,9.132,7.804,14.39,0.960565903,0.892317261,1.172456974,1.158060794,-0.010779738,-0.004841496,0.02260394,-0.000909914,-0.033383678,-0.003931582
AM,AM38590,Feliform,Felidae,Pardofelis.marmorata,Cast,Upper,Right,Nape.throat,Meat,Laser.design,Y,Y,14.516,14.739,14.627,10.359,8.886,13.775,1.015317833,0.948706309,1.165155261,1.139091608,-0.024180124,-0.009154707,0.008895348,0.043880261,-0.033075472,-0.053034968
Smithsonian,NMNH443521,Caniform,Procyonidae,Procyon.cancrivorous,Cast,Upper,Left,Unknown,Invert.aquatic,Laser.design,Y,Y,14.01,14.12,14.065,9.986,10.488,15.972,0.999391562,1.020692679,1.148139737,1.203359302,0.063692129,-0.039132447,0.077164946,-0.019290276,-0.013472817,-0.019842171
Monash,MZRC4337,Caniform,Procyonidae,Procyon.lotor,Natural,Upper,Left,Unknown,Generalist,Laser.design,Y,Y,15.443,15.117,15.28,9.762,7.641,16.468,0.989538803,0.8831502,1.184123354,1.216640858,-0.036372309,-0.082205574,0.025801572,-0.004265125,-0.062173881,-0.077940449
MV,NMVC6232,Marsupial,Dasyuridae,Sarcophilus.harrisii,Natural,Upper,Right,Invert.feeder,Carrion.bone,Laser.design,Y,Y,16.54,16.805,16.673,12.846,12.929,14.299,1.108767918,1.111564935,1.22201375,1.155305666,0.073761412,-0.057315957,0.073420723,0.035461107,0.000340689,-0.092777064
Smithsonian,NMNH525882,Caniform,Mustelidae,Taxidea.taxus,Cast,Upper,Left,Invert.feeder,Meat,Laser.design,Y,Y,14.048,14.178,14.113,9.741,10.161,14.484,0.988603543,1.006936451,1.149619342,1.160888516,0.001048608,-0.06839273,-0.019285129,-0.001852616,0.020333737,-0.066540114
MV,NMVC5747,Marsupial,Thylacinidae,Thylacinus.cynocephalus,Natural,Upper,Left,Unknown,Unknown,Laser.design,Y,Y,17.068,15.62,16.344,18.434,12.534,14.321,1.265619583,1.09808969,1.213358354,1.155973345,-0.020455959,0.031803836,0.062114806,0.018715063,-0.082570765,0.013088773
NMNH,NMNH209906,Caniform,Ursidae,Ursus.americanus,Cast,Upper,Left,Unknown,Generalist,Laser.design,Y,Y,16.157,15.024,15.591,22.698,20.049,15.293,1.355987592,1.302092716,1.192873972,1.184492689,0.0029953,0.001676782,0.030309607,0.002156788,-0.027314307,-0.000480006
Smithsonian,NMNH232398,Caniform,Ursidae,Ursus.arctos,Cast,Upper,Right,Unknown,Generalist,Laser.design,Y,Y,14.129,14.194,14.162,22.29,19.842,14.605,1.348110068,1.297585445,1.15112459,1.164501561,0.030619217,-0.028351622,0.089623306,-0.010956311,-0.059004089,-0.017395311
NMNH,NMNH512148,Caniform,Ursidae,Ursus.maritimus,Cast,Upper,Left,Unknown,Meat.bone,Laser.design,Y,Y,14.224,14.094,14.159,33.478,30.03,13.817,1.524759505,1.477555332,1.151032582,1.140413758,0.003886812,-0.003118316,0.017547929,0.029249375,-0.013661117,-0.032367691
Smithsonian,NMNH198706,Feliform,Viverridae,Viverra.tangalunga,Cast,Upper,Left,Shake.toss,Generalist,Laser.design,Y,Y,15.456,16.863,16.16,10.314,7.554,15.589,1.013427127,0.87817698,1.208441356,1.192818257,-0.083007075,0.012722752,0.002134648,0.025738968,-0.085141723,-0.013016216
AMNH,AMNH57055,Feliform,Viverridae,Viverra.zibetha,Cast,Upper,Left,Shake.toss,Generalist,Laser.design,Y,Y,15.049,14.69,14.87,11.17,8.607,15.179,1.048053173,0.934851803,1.172310969,1.181243161,-0.071116124,0.027989029,0.010710054,0.031628318,-0.081826178,-0.003639289
MV,NMVC25075,Caniform,Canidae,Vulpes.vulpes,Natural,Upper,Left,Shake.toss,Meat,Laser.design,Y,Y,14.699,13.758,14.228,14.985,11.446,14.933,1.175656747,1.058653742,1.153143857,1.174147065,-0.139830171,0.015752049,-0.067533142,0.063097152,-0.072297029,-0.047345103
